generation,team_fitness_aggregated,rover_0_,rover_1_,team_fitness_0,team_0_rover_0,team_0_rover_1,team_fitness_1,team_1_rover_0,team_1_rover_1,team_fitness_2,team_2_rover_0,team_2_rover_1,team_fitness_3,team_3_rover_0,team_3_rover_1,team_fitness_4,team_4_rover_0,team_4_rover_1,team_fitness_5,team_5_rover_0,team_5_rover_1,team_fitness_6,team_6_rover_0,team_6_rover_1,team_fitness_7,team_7_rover_0,team_7_rover_1,team_fitness_8,team_8_rover_0,team_8_rover_1,team_fitness_9,team_9_rover_0,team_9_rover_1
0,0.30549451304581504,0.30549451304581504,0.30549451304581504,0.684367178553006,0.684367178553006,0.684367178553006,0.21255864554012116,0.21255864554012116,0.21255864554012116,0.37578119860259346,0.37578119860259346,0.37578119860259346,0.0,0.0,0.0,0.20373787182158357,0.20373787182158357,0.20373787182158357,0.4497399486756277,0.4497399486756277,0.4497399486756277,0.29838614544650516,0.29838614544650516,0.29838614544650516,0.4409329400765981,0.4409329400765981,0.4409329400765981,0.0,0.0,0.0,0.3894412017421153,0.3894412017421153,0.3894412017421153
1,0.2931400305988272,0.2931400305988272,0.2931400305988272,0.2762861065582362,0.2762861065582362,0.2762861065582362,0.7484316346925153,0.7484316346925153,0.7484316346925153,0.2152492665355389,0.2152492665355389,0.2152492665355389,0.0,0.0,0.0,0.2794893699847064,0.2794893699847064,0.2794893699847064,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.208399980408129,0.208399980408129,0.208399980408129,0.20354394780914603,0.20354394780914603,0.20354394780914603
2,0.17846613125418598,0.17846613125418598,0.17846613125418598,0.6762846698867078,0.6762846698867078,0.6762846698867078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21301286876476588,0.21301286876476588,0.21301286876476588,0.0,0.0,0.0,0.0,0.0,0.0,0.2594930751038281,0.2594930751038281,0.2594930751038281,0.27017778091864053,0.27017778091864053,0.27017778091864053,0.3656929178679177,0.3656929178679177,0.3656929178679177
3,0.7139395491468007,0.7139395491468007,0.7139395491468007,0.46122321289975715,0.46122321289975715,0.46122321289975715,0.7109530152961303,0.7109530152961303,0.7109530152961303,1.2595229947457143,1.2595229947457143,1.2595229947457143,1.0188176458375564,1.0188176458375564,1.0188176458375564,0.0,0.0,0.0,1.4536808430254282,1.4536808430254282,1.4536808430254282,1.0846166133053403,1.0846166133053403,1.0846166133053403,0.6371168426999029,0.6371168426999029,0.6371168426999029,0.26604568195299777,0.26604568195299777,0.26604568195299777,0.24741864170517935,0.24741864170517935,0.24741864170517935
4,0.42306011530631,0.42306011530631,0.42306011530631,0.8657738040779329,0.8657738040779329,0.8657738040779329,0.5338501255031244,0.5338501255031244,0.5338501255031244,0.6073964543437812,0.6073964543437812,0.6073964543437812,0.0,0.0,0.0,0.6139169776472178,0.6139169776472178,0.6139169776472178,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25889046617928285,0.25889046617928285,0.25889046617928285,0.3507733253117613,0.3507733253117613,0.3507733253117613
5,0.30035328523810306,0.30035328523810306,0.30035328523810306,0.41893194328697914,0.41893194328697914,0.41893194328697914,0.5861907993218526,0.5861907993218526,0.5861907993218526,0.22292871003562842,0.22292871003562842,0.22292871003562842,0.26315920511334095,0.26315920511334095,0.26315920511334095,0.0,0.0,0.0,0.22824542073848322,0.22824542073848322,0.22824542073848322,0.5954187289541928,0.5954187289541928,0.5954187289541928,0.0,0.0,0.0,0.3387840992366766,0.3387840992366766,0.3387840992366766,0.34987394569387675,0.34987394569387675,0.34987394569387675
6,0.2621222944929571,0.2621222944929571,0.2621222944929571,0.259953764024681,0.259953764024681,0.259953764024681,0.27024854804753823,0.27024854804753823,0.27024854804753823,0.2828325431265683,0.2828325431265683,0.2828325431265683,0.30514768424614697,0.30514768424614697,0.30514768424614697,0.2073979522869563,0.2073979522869563,0.2073979522869563,0.0,0.0,0.0,1.0846529849953157,1.0846529849953157,1.0846529849953157,0.21098946820236456,0.21098946820236456,0.21098946820236456,0.0,0.0,0.0,0.0,0.0,0.0
7,0.2652639180245396,0.2652639180245396,0.2652639180245396,0.26793589607124674,0.26793589607124674,0.26793589607124674,0.4314992481826682,0.4314992481826682,0.4314992481826682,0.2280805812514869,0.2280805812514869,0.2280805812514869,0.2867027571727004,0.2867027571727004,0.2867027571727004,0.0,0.0,0.0,0.36631601824217325,0.36631601824217325,0.36631601824217325,0.28661426830108905,0.28661426830108905,0.28661426830108905,0.3196628691332144,0.3196628691332144,0.3196628691332144,0.46582754189081726,0.46582754189081726,0.46582754189081726,0.0,0.0,0.0
8,0.3678742591850749,0.3678742591850749,0.3678742591850749,0.47376139969690695,0.47376139969690695,0.47376139969690695,0.21382113914074924,0.21382113914074924,0.21382113914074924,0.27436181459733905,0.27436181459733905,0.27436181459733905,0.23281540146833346,0.23281540146833346,0.23281540146833346,0.32840129497638343,0.32840129497638343,0.32840129497638343,0.49118700578331376,0.49118700578331376,0.49118700578331376,0.30999398627970576,0.30999398627970576,0.30999398627970576,0.5906625945818026,0.5906625945818026,0.5906625945818026,0.34067012988994955,0.34067012988994955,0.34067012988994955,0.42306782543626487,0.42306782543626487,0.42306782543626487
9,0.4890426017692005,0.4890426017692005,0.4890426017692005,1.1091219338692064,1.1091219338692064,1.1091219338692064,0.7131871537799761,0.7131871537799761,0.7131871537799761,0.749160027504278,0.749160027504278,0.749160027504278,0.4577650101438967,0.4577650101438967,0.4577650101438967,0.2920942641579723,0.2920942641579723,0.2920942641579723,0.253818618445022,0.253818618445022,0.253818618445022,0.49505297662942144,0.49505297662942144,0.49505297662942144,0.3544308538050723,0.3544308538050723,0.3544308538050723,0.24039540598155357,0.24039540598155357,0.24039540598155357,0.22539977337560602,0.22539977337560602,0.22539977337560602
10,0.17135253800812902,0.17135253800812902,0.17135253800812902,0.0,0.0,0.0,0.0,0.0,0.0,0.8234196923651311,0.8234196923651311,0.8234196923651311,0.3932219047951681,0.3932219047951681,0.3932219047951681,0.0,0.0,0.0,0.0,0.0,0.0,0.22527546078101124,0.22527546078101124,0.22527546078101124,0.0,0.0,0.0,0.2716083221399797,0.2716083221399797,0.2716083221399797,0.0,0.0,0.0
11,0.5609309517039425,0.5609309517039425,0.5609309517039425,0.8951578930010302,0.8951578930010302,0.8951578930010302,0.3433031803262057,0.3433031803262057,0.3433031803262057,0.44579009779702095,0.44579009779702095,0.44579009779702095,0.23555657802626692,0.23555657802626692,0.23555657802626692,0.5324844880226104,0.5324844880226104,0.5324844880226104,1.0,1.0,1.0,0.45840127452065127,0.45840127452065127,0.45840127452065127,0.32901894860502434,0.32901894860502434,0.32901894860502434,1.095737112331189,1.095737112331189,1.095737112331189,0.27385994440942535,0.27385994440942535,0.27385994440942535
12,0.4656421665739363,0.4656421665739363,0.4656421665739363,0.3360036780839544,0.3360036780839544,0.3360036780839544,0.38097408901723495,0.38097408901723495,0.38097408901723495,0.5978476790759855,0.5978476790759855,0.5978476790759855,0.4233117247301698,0.4233117247301698,0.4233117247301698,0.0,0.0,0.0,0.4233625815873117,0.4233625815873117,0.4233625815873117,0.0,0.0,0.0,1.1342415230489797,1.1342415230489797,1.1342415230489797,0.8106925873107432,0.8106925873107432,0.8106925873107432,0.5499878028849828,0.5499878028849828,0.5499878028849828
13,0.278246638265578,0.278246638265578,0.278246638265578,0.0,0.0,0.0,0.2947605032109235,0.2947605032109235,0.2947605032109235,0.3916620048112099,0.3916620048112099,0.3916620048112099,0.32258520037475047,0.32258520037475047,0.32258520037475047,0.0,0.0,0.0,0.2263439654991649,0.2263439654991649,0.2263439654991649,0.0,0.0,0.0,1.0528872053240832,1.0528872053240832,1.0528872053240832,0.0,0.0,0.0,0.494227503435648,0.494227503435648,0.494227503435648
